af	Afrikaans	南非荷兰语
am	Amharic	阿姆哈拉语
an	Aragonese	阿拉贡语
ar	Arabic	阿拉伯语
as	Assamese	阿萨姆语
az	Azerbaijani	阿塞拜疆语
be	Belarusian	白俄罗斯语
bg	Bulgarian	保加利亚语
bn	Bengali	孟加拉语
br	Breton	布列塔尼语
bs	Bosnian	波斯尼亚语
ca	Catalan	加泰罗尼亚语
cs	Czech	捷克语
cy	Welsh	威尔士语
da	Danish	丹麦语
de	German	德语
dz	Dzongkha	宗喀语
el	Greek	希腊语
eo	Esperanto	世界语
es	Spanish	西班牙语
et	Estonian	爱沙尼亚语
eu	Basque	巴斯克语
fa	Persian	波斯语
fi	Finnish	芬兰语
fr	French	法语
fy	Western Frisian	西弗里斯兰语
ga	Irish	爱尔兰语
gd	Gaelic	盖尔语
gl	Galician	加利西亚语
gu	Gujarati	古吉拉特语
ha	Hausa	豪萨语
he	Hebrew	希伯来语
hi	Hindi	印地语
hr	Croatian	克罗地亚语
hu	Hungarian	匈牙利语
hy	Armenian	亚美尼亚语
id	Indonesian	印度尼西亚语
ig	Igbo	伊博语
is	Icelandic	冰岛语
it	Italian	意大利语
ja	Japanese	日语
ka	Georgian	格鲁吉亚语
kk	Kazakh	哈萨克语
km	Central Khmer	高棉语
kn	Kannada	卡纳达语
ko	Korean	韩语
ku	Kurdish	库尔德语
ky	Kyrgyz	吉尔吉斯语
li	Limburgan	林堡语
lt	Lithuanian	立陶宛语
lv	Latvian	拉脱维亚语
mg	Malagasy	马尔加什语
mk	Macedonian	马其顿语
ml	Malayalam	马拉雅拉姆语
mn	Mongolian	蒙语
mr	Marathi	马拉地语
ms	Malay	马来语
mt	Maltese	马耳他语
my	Burmese	缅甸语
nb	Norwegian Bokmal	巴克摩挪威文
ne	Nepali	尼泊尔语
nl	Dutch	荷兰语
nn	Norwegian Nynorsk	尼诺斯克挪威语
no	Norwegian	挪威语
oc	Occitan	奥克西唐语
or	Oriya	奥里亚语
pa	Panjabi	旁遮普语
pl	Polish	波兰语
ps	Pashto	普什图语
pt	Portuguese	葡萄牙语
ro	Romanian	罗马尼亚语
ru	Russian	俄语
rw	Kinyarwanda	卢旺达语
se	Northern Sami	北萨米语
sh	Serbo-Croatian	塞克语
si	Sinhala	僧伽罗语
sk	Slovak	斯洛伐克语
sl	Slovenian	斯洛文尼亚语
sq	Albanian	阿尔巴尼亚语
sr	Serbian	塞尔维亚语
sv	Swedish	瑞典语
ta	Tamil	泰米尔语
te	Telugu	泰卢固语
tg	Tajik	塔吉克语
th	Thai	泰语
tk	Turkmen	土库曼语
tr	Turkish	土耳其语
tt	Tatar	鞑靼语
ug	Uighur	维吾尔语
uk	Ukrainian	乌克兰语
ur	Urdu	乌尔都语
uz	Uzbek	乌兹别克语
vi	Vietnamese	越南语
wa	Walloon	瓦隆语
xh	Xhosa	科萨语
yi	Yiddish	意第绪语
yo	Yoruba	约鲁巴语
zh	Chinese	汉语
zu	Zulu	祖鲁语
mo	Mongolian	蒙古语
bo	Tibetan	藏语
uy	Uighur	维吾尔语
en	English	英语
